Enclosure,Treatment,Date,Interval,Weather,Time,Temp ©,Secchi (cm),DO (mg/L),Cond. (uS/cm),pH,PC:CHL,PC RFU,CHL RFU,PC Blank,CHL Blank,CHL Corrected,PC Corrected,TN (ug/L),TP (ug/L),TN:TP,SRP (ug/L),NO3-N (mg/L),TAN (ug/L),Urea-N (ug/L),TDN (ug/L),Chlororphyll (ug/L),Phycocyanin (ug/L),PHYC:CHL,Toxins,MIB (ng/L),Geosmin(ng/L),Phyto cells/mL,Cyano cells/mL,pg phyco/cell,pg chloro/cell,notes
Community-1,NO3,9/21/2020,0hr.,Partly Cloudy,7:03,21.3,39,13.65,89.9,9.96,1.5382,10963,7127.5,5,52,7075.5,10958,2192.36,280.86,7.81,9.71,0.00,0.00,0.00,0.00,99.55,137.30,1.379241119,1.490,0.00,4.12,58194.29,46324,2.96,1.71,
Community-2,NH4,9/21/2020,0hr.,Partly Cloudy,7:17,21.3,39,13.62,89.5,9.97,3.0532,14431,4726.6,12,55,4671.6,14419,1764.11,241.27,7.31,21.10,0.00,0.00,12.97,12.97,68.51,159.21,2.32393241,1.278,0.00,4.19,64888.39,53184,2.99,1.06,
Community-3,Control,9/21/2020,0hr.,Partly Cloudy,7:24,21.2,38,13.52,89.4,9.99,3.0484,14728,4831.5,14,49,4782.5,14714,2480.35,250.17,9.91,19.33,0.00,0.00,0.00,0.00,101.26,140.99,1.392292736,1.467,2.72,4.18,74489.80,62165,2.27,1.36,
Community-4,Urea,9/21/2020,0hr.,Partly Cloudy,7:36,21.3,35,12.96,86.3,9.95,1.5308,11543,754.09,11,52,702.09,11532,2197.65,292.86,7.50,17.78,0.00,0.00,5.50,5.50,126.25,124.77,0.988273707,1.355,0.00,4.77,68731.54,52105,2.39,1.84,
Community-5,NH4,9/21/2020,0hr.,Partly Cloudy,7:42,21.2,40,13.69,89.5,10.05,1.5124,12369,8179,10,52,8127,12359,2211.64,276.53,8.00,24.36,0.00,0.00,0.00,0.00,101.21,122.33,1.208657378,1.746,0.00,4.14,54708.35,44203,2.77,1.85,
Community-6,NO3,9/21/2020,0hr.,Partly Cloudy,7:54,21.1,38,13.66,89.2,10.08,3.0969,13022,4205,24,58,4147,12998,1927.39,209.84,9.19,23.99,0.00,0.00,0.00,0.00,95.19,169.89,1.784681597,1.280,0.00,4.27,81053.64,69266,2.45,1.17,
Community-7,Control,9/21/2020,0hr.,Partly Cloudy,8:00,21.2,39,13.67,89.5,10.1,2.2093,13315,6027.2,22,54,5973.2,13293,1916.19,229.63,8.34,23.62,0.00,0.00,0.00,0.00,95.32,183.64,1.926579636,1.393,0.00,3.69,76101.39,62205,2.95,1.25,
Community-8,Urea,9/21/2020,0hr.,Partly Cloudy,8:05,21.1,37,13.77,90.6,10.15,3.8434,21783,5667.8,15,52,5615.8,21768,2365.28,230.87,10.25,28.28,0.00,0.00,0.00,0.00,98.08,256.52,2.615505608,1.747,0.00,4.19,69551.95,64092,4.00,1.41,
Community-9,NH4,9/21/2020,0hr.,Partly Cloudy,8:14,21.1,37,13.72,90.7,10.11,2.4966,12544,5024.5,12,49,4975.5,12532,2081.33,211.57,9.84,21.33,0.00,0.00,23.42,23.42,93.67,124.07,1.324568548,1.742,0.00,4.53,87372.62,77446,1.60,1.07,
Community-10,Control,9/21/2020,0hr.,Partly Cloudy,8:20,21.1,39,13.57,89.6,10.12,3.3585,15304,4557,49,51,4506,15255,1869.85,209.59,8.92,31.61,0.00,0.00,0.00,0.00,75.55,161.76,2.141057162,0.031,0.00,3.94,58100.26,50118,3.23,1.30,
Community-11,NO3,9/21/2020,0hr.,Partly Cloudy,8:25,21.1,37,13.6,90.3,10.12,6.1338,26059,4248.4,37,63,4185.4,26022,2221.91,211.32,10.51,21.03,0.00,0.00,0.00,0.00,89.60,160.91,1.795873985,0.321,0.00,4.40,69842.08,53877,2.99,1.28,
Community-12,Urea,9/21/2020,0hr.,Partly Cloudy,8:35,21.1,38,13.57,90.7,10.11,2.4803,12785,5154.8,10,49,5105.8,12775,1965.33,277.40,7.08,17.48,0.00,0.00,0.00,0.00,87.72,161.40,1.840070779,1.401,0.00,4.46,66649.36,56103,2.88,1.32,
Community-13,NH4,9/21/2020,0hr.,Partly Cloudy,8:42,21.1,37,13.58,91,10.11,1.6956,11276,6650.5,7,53,6597.5,11269,1906.55,264.03,7.22,16.15,0.00,0.00,0.00,0.00,83.78,123.57,1.474982003,1.020,0.00,5.27,76562.93,63411,1.95,1.09,
Community-14,NO3,9/21/2020,0hr.,Partly Cloudy,8:51,21.1,33,13.7,90.7,10.1,6.3246,26682,4218.7,49,63,4155.7,26633,2035.93,250.05,8.14,23.62,0.00,0.00,0.00,0.00,99.59,158.66,1.593095484,0.197,0.00,4.89,50537.20,39949,3.97,1.97,
Community-15,Urea,9/21/2020,0hr.,Partly Cloudy,8:56,21.1,35,13.8,90.9,10.14,6.4818,24391,3763.1,21,56,3707.1,24370,1981.50,220.35,8.99,23.62,0.00,0.00,0.00,0.00,98.63,172.93,1.753349812,0.980,0.00,4.25,56879.22,46374,3.73,1.73,
Community-16,Control,9/21/2020,0hr.,Partly Cloudy,9:05,21.1,37,13.84,91.4,10.13,3.9143,16405,4191.2,52,54,4137.2,16353,1997.98,232.23,8.60,30.35,0.00,0.00,4.44,4.44,89.10,215.89,2.422873282,0.066,0.00,4.67,78778.03,60828,3.55,1.13,
Community-17,NH4,9/21/2020,0hr.,Partly Cloudy,9:15,21.1,39,13.75,91.4,10.13,3.579,13350,3730.1,47,52,3678.1,13303,1811.07,231.98,7.81,22.44,0.00,0.00,0.00,0.00,85.94,174.75,2.033360915,1.473,0.00,3.98,70021.10,58730,2.98,1.23,
Community-18,NO3,9/21/2020,0hr.,Partly Cloudy,9:23,21.1,35,13.92,92.2,10.17,4.3841,20586,4695.8,28,66,4629.8,20558,2088.80,232.23,8.99,26.58,0.00,0.00,0.00,0.00,93.64,173.50,1.852815925,0.420,0.00,4.40,68246.96,53771,3.23,1.37,
Community-19,Control,9/21/2020,0hr.,Partly Cloudy,9:33,21.2,36,13.87,91.9,10.15,2.9359,14714,5011.7,14,53,4958.7,14700,1817.91,208.47,8.72,19.77,0.00,0.00,0.00,0.00,74.12,187.48,2.529443173,1.464,0.00,4.37,78331.10,60298,3.11,0.95,
Community-20,Urea,9/21/2020,0hr.,Partly Cloudy,9:44,21.2,36,13.95,92.6,10.17,4.4907,16741,3728,59,56,3672,16682,1963.77,214.79,9.14,31.46,0.00,0.00,13.18,13.18,86.31,181.52,2.103188005,0.066,0.00,1.73,74021.26,61365,2.96,1.17,
Community-21,NH4,9/21/2020,0hr.,Partly Cloudy,9:50,21.2,35,13.98,93,10.2,2.1809,12793,5866.1,26,56,5810.1,12767,2094.71,240.89,8.70,24.36,0.00,0.00,0.00,0.00,82.46,253.34,3.072375823,0.527,0.00,4.37,78091.38,58859,4.30,1.06,
Community-22,NO3,9/21/2020,0hr.,Partly Cloudy,9:55,21.2,34,13.92,91.5,10.17,4.4505,18200,4089.4,143,65,4024.4,18057,2049.92,228.77,8.96,33.24,0.00,0.00,0.00,0.00,72.91,113.16,1.552055158,0.046,0.00,4.88,83958.69,71261,1.59,0.87,
Community-23,Urea,9/21/2020,0hr.,Partly Cloudy,10:00,21.2,38,14.01,92.4,10.18,0.2001,530.36,2651.1,6,36,2615.1,524.36,1749.18,219.61,7.96,43.97,0.00,0.00,1.45,1.45,50.23,0.52,0.010401654,0.016,0.00,4.22,92096.47,82294,0.01,0.55,
Community-24,Control,9/21/2020,0hr.,Partly Cloudy,10:09,21.3,39,13.38,89.6,10.1,2.5509,12421,4869.7,46,54,4815.7,12375,2072.00,230.50,8.99,35.75,0.00,0.00,0.00,0.00,81.21,175.07,2.155818085,0.048,0.70,4.96,50128.33,39540,4.43,1.62,
Community,Pond,9/21/2020,0hr.,Partly Cloudy,10:13,21.4,37,10.14,80,9.7,2.323,16148,6951.5,42,62,6889.5,16106,2009.49,240.20,8.37,25.47,0.00,0.00,0.00,0.00,85.64,261.76,3.056623175,0.984,0.00,4.97,n/a,78406,3.34,n/a,
Community-1,NO3,9/21/2020,2hr.,Partly Cloudy,12:12,21.7,34,15.93,106.1,10.36,1.099,2051.3,1866.6,85,47,1819.6,1966.3,n/a,n/a,n/a,123.35,0.66,0.00,0.00,656.27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-2,NH4,9/21/2020,2hr.,Partly Cloudy,12:22,21.8,41,15.6,98.3,10.25,0.449,472.08,1051.5,4,34,1017.5,468.08,n/a,n/a,n/a,124.51,0.01,610.66,15.10,634.31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-3,Control,9/21/2020,2hr.,Partly Cloudy,12:27,22,38,15.76,102.3,10.38,0.3975,747.41,1880.4,5,31,1849.4,742.41,n/a,n/a,n/a,136.27,0.00,10.40,0.00,10.40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
